Ticker,Report Date,Currency,Fiscal Year,Fiscal Period,Revenue,Cost of Revenue,Operating Income (Loss),Operating Expenses,Depreciation & Amortization,EBITDA,country_code,primary_ticker,account_number,organization,survey_year,response_received_date,country,region,authority_types,activities,sectors,industries,primary_activity,primary_sector,primary_industry,primary_questionnaire_sector
A,10/31/17,USD,2017,FY,4472000000,-2063000000,841000000,-1568000000,212000000,1053000000,,,,,,,,,,,,,,,,
A,10/31/18,USD,2018,FY,4914000000,-2227000000,928000000,-1759000000,210000000,1138000000,US,A US,391,Agilent Technologies Inc.,2018,2018-08-10T00:00:00Z,United States of America,," Investor, Supply Chain", Medical equipment, Medical equipment & supplies," Biotech, health care & pharma",Medical equipment,Medical equipment & supplies,"Biotech, health care & pharma",General
A,10/31/19,USD,2019,FY,5163000000,-2358000000,941000000,-1864000000,238000000,1179000000,US,A US,391,Agilent Technologies Inc.,2019,2019-07-01T16:13:45Z,United States of America,," Investor, Supply Chain", Medical equipment, Medical equipment & supplies," Biotech, health care & pharma",Medical equipment,Medical equipment & supplies,"Biotech, health care & pharma",General
AA,12/31/17,USD,2017,FY,11652000000,-9072000000,1514000000,-1066000000,752000000,2266000000,,,,,,,,,,,,,,,,
AA,12/31/18,USD,2018,FY,13403000000,-10081000000,2310000000,-1012000000,733000000,3043000000,US,AA US,511,Alcoa Corp.,2018,2018-08-13T00:00:00Z,United States of America,," Investor, Supply Chain"," Aluminium refining, Aluminum, Bauxite mining, CCGT generation, Other non-ferrous ore mining"," Metal smelting, refining & forming, Metallic mineral mining, Thermal power generation"," Materials, Power generation",Aluminium refining,"Metal smelting, refining & forming",Materials,Metals & mining
AA,12/31/19,USD,2019,FY,10433000000,-8537000000,876000000,-1020000000,713000000,1589000000,,,,,,,,,,,,,,,,
AAL,12/31/17,USD,2017,FY,42207000000,-29452000000,4058000000,-8697000000,2017000000,6075000000,,,,,,,,,,,,,,,,
AAL,12/31/18,USD,2018,FY,44541000000,-32651000000,2656000000,-9234000000,2159000000,4815000000,US,AAL US,660,American Airlines Group Inc,2018,2018-08-30T00:00:00Z,United States of America,," Investor, Supply Chain"," Air freight, Passenger airlines", Air transport, Transportation services,Passenger airlines,Air transport,Transportation services,Transport services
AAL,12/31/19,USD,2019,FY,45768000000,-33397000000,3065000000,-9306000000,2318000000,5383000000,US,AAL US,660,American Airlines Group Inc,2019,2019-07-31T18:30:08Z,United States of America,," Investor, Supply Chain"," Air freight, Passenger airlines", Air transport, Transportation services,Passenger airlines,Air transport,Transportation services,Transport services
AAMC,12/31/17,USD,2017,FY,18160000,-19393000,-7347000,-6114000,302000,-7045000,,,,,,,,,,,,,,,,
AAMC,12/31/18,USD,2018,FY,15926000,-17320000,-6608000,-5214000,436000,-6172000,,,,,,,,,,,,,,,,
AAMC,12/31/19,USD,2019,FY,15762000,-17029000,-9025000,-7758000,392000,-8633000,,,,,,,,,,,,,,,,
AAN,12/31/17,USD,2017,FY,3383708000,-1707565000,272693000,-1403450000,1531203000,1803896000,,,,,,,,,,,,,,,,
AAN,12/31/18,USD,2018,FY,3828923000,-1921903000,290713000,-1616307000,1822054000,2112767000,,,,,,,,,,,,,,,,
AAN,12/31/19,USD,2019,FY,3947656000,-2109611000,325125000,-1512920000,2077419000,2402544000,,,,,,,,,,,,,,,,
AAOI,12/31/17,USD,2017,FY,382329000,-216049000,86951000,-79329000,20381000,107332000,,,,,,,,,,,,,,,,
AAOI,12/31/18,USD,2018,FY,267465000,-179692000,-10768000,-98541000,29698000,18930000,,,,,,,,,,,,,,,,
AAOI,12/31/19,USD,2019,FY,190872000,-144671000,-48747000,-94948000,24014000,-24733000,,,,,,,,,,,,,,,,
AAON,12/31/17,USD,2017,FY,405232000,-281835000,74148000,-49249000,15007000,89155000,,,,,,,,,,,,,,,,
AAON,12/31/18,USD,2018,FY,433947000,-330414000,55778000,-47755000,17655000,73433000,,,,,,,,,,,,,,,,
AAON,12/31/19,USD,2019,FY,469333000,-349908000,67348000,-52077000,22766000,90114000,,,,,,,,,,,,,,,,
AAP,12/31/17,USD,2017,FY,9373784000,-5288735000,570212000,-3514837000,249260000,819472000,,,,,,,,,,,,,,,,
AAP,12/31/18,USD,2018,FY,9580554000,-5361141000,604275000,-3615138000,238184000,842459000,,,,,,,,,,,,,,,,
AAP,12/31/19,USD,2019,FY,9709003000,-5454257000,677180000,-3577566000,238371000,915551000,,,,,,,,,,,,,,,,
AAPL,9/30/17,USD,2017,FY,2.29234E+11,-1.41048E+11,61344000000,-26842000000,10157000000,71501000000,,,,,,,,,,,,,,,,
AAPL,9/30/18,USD,2018,FY,2.65595E+11,-1.63756E+11,70898000000,-30941000000,10903000000,81801000000,US,AAPL US,865,Apple Inc.,2018,2018-08-29T00:00:00Z,United States of America,," Investor, Supply Chain"," Communications equipment, Computer hardware, Discretionary delivery retail, Electronic equipment"," Discretionary retail, Electrical & electronic equipment"," Manufacturing, Retail",Communications equipment,Electrical & electronic equipment,Manufacturing,General
AAPL,9/30/19,USD,2019,FY,2.60174E+11,-1.61782E+11,63930000000,-34462000000,12547000000,76477000000,US,AAPL US,865,Apple Inc.,2019,2019-07-19T07:18:45Z,United States of America,," Investor, Supply Chain"," Communications equipment, Computer hardware, Discretionary delivery retail, Electronic equipment"," Discretionary retail, Electrical & electronic equipment"," Manufacturing, Retail",Communications equipment,Electrical & electronic equipment,Manufacturing,General
AAPL,9/30/20,USD,2020,FY,2.74515E+11,-1.69559E+11,66288000000,-38668000000,11056000000,77344000000,US,AAPL US,865,Apple Inc.,2020,2020-08-27T04:25:49Z,United States of America,," Investor, Supply Chain"," Communications equipment, Computer hardware, Discretionary delivery retail, Electronic equipment"," Discretionary retail, Electrical & electronic equipment"," Manufacturing, Retail",Communications equipment,Electrical & electronic equipment,Manufacturing,General
AAWW,12/31/17,USD,2017,FY,2156460000,-1062797000,613608000,-480055000,197463000,811071000,,,,,,,,,,,,,,,,
AAWW,12/31/18,USD,2018,FY,2677724000,-1362989000,735355000,-579380000,265553000,1000908000,,,,,,,,,,,,,,,,
AAWW,12/31/19,USD,2019,FY,2739189000,-1465339000,618021000,-655829000,316821000,934842000,,,,,,,,,,,,,,,,
AAXN,12/31/17,USD,2017,FY,343798000,-136710000,13023000,-194065000,8041000,21064000,,,,,,,,,,,,,,,,
AAXN,12/31/18,USD,2018,FY,420068000,-161485000,24841000,-233742000,10615000,35456000,,,,,,,,,,,,,,,,
AAXN,12/31/19,USD,2019,FY,530860000,-223574000,-6394000,-313680000,11361000,4967000,,,,,,,,,,,,,,,,
AB,12/31/17,USD,2017,FY,,,,,,0,,,,,,,,,,,,,,,,
AB,12/31/18,USD,2018,FY,,,,,,0,,,,,,,,,,,,,,,,
ABAX,3/31/18,USD,2017,FY,244700000,-111091000,38655000,-94954000,8006000,46661000,,,,,,,,,,,,,,,,
ABBV,12/31/17,USD,2017,FY,28216000000,-7040000000,9919000000,-11257000000,1501000000,11420000000,,,,,,,,,,,,,,,,
ABBV,12/31/18,USD,2018,FY,32753000000,-7718000000,7307000000,-17728000000,1765000000,9072000000,US,ABBV US,45103,AbbVie Inc,2018,2018-08-23T00:00:00Z,United States of America,," Investor, Supply Chain", Pharmaceuticals, Biotech & pharma," Biotech, health care & pharma",Pharmaceuticals,Biotech & pharma,"Biotech, health care & pharma",General
ABBV,12/31/19,USD,2019,FY,33266000000,-7439000000,12478000000,-13349000000,2017000000,14495000000,US,ABBV US,45103,AbbVie Inc,2019,2019-07-29T20:54:40Z,United States of America,," Investor, Supply Chain", Pharmaceuticals, Biotech & pharma," Biotech, health care & pharma",Pharmaceuticals,Biotech & pharma,"Biotech, health care & pharma",General
ABC,9/30/17,USD,2017,FY,1.53144E+11,-1.48598E+11,2019669000,-2526333000,432331000,2452000000,,,,,,,,,,,,,,,,
ABC,9/30/18,USD,2018,FY,1.6794E+11,-1.63327E+11,1686889000,-2925428000,510109000,2196998000,US,ABC US,710,AmerisourceBergen Corp.,2018,2018-09-12T00:00:00Z,United States of America,," Investor, Supply Chain"," Dealers, wholesalers & distributors, Pharma & health care supplies wholesale & distribution"," Trading, wholesale, distribution, rental & leasing", Retail,"Dealers, wholesalers & distributors","Trading, wholesale, distribution, rental & leasing",Retail,General
ABC,9/30/19,USD,2019,FY,1.79589E+11,-1.74451E+11,2012397000,-3125915000,497512000,2509909000,US,ABC US,710,AmerisourceBergen Corp.,2019,2019-07-31T18:33:13Z,United States of America,," Investor, Supply Chain"," Dealers, wholesalers & distributors, Pharma & health care supplies wholesale & distribution"," Trading, wholesale, distribution, rental & leasing", Retail,Pharma & health care supplies wholesale & distribution,"Trading, wholesale, distribution, rental & leasing",Retail,General
ABCD,12/31/17,USD,2017,FY,158184000,-45534000,26112000,-86538000,20765000,46877000,,,,,,,,,,,,,,,,
ABD,12/31/17,USD,2017,FY,1948800000,-1292400000,214700000,-441700000,71200000,285900000,,,,,,,,,,,,,,,,
ABD,12/31/18,USD,2018,FY,1941200000,-1313400000,198700000,-429100000,70700000,269400000,,,,,,,,,,,,,,,,
ABD,12/31/19,USD,2019,FY,1955700000,-1322200000,208200000,-425300000,70300000,278500000,,,,,,,,,,,,,,,,
ABG,12/31/17,USD,2017,FY,6456500000,-5400600000,287700000,-768200000,32100000,319800000,,,,,,,,,,,,,,,,
ABG,12/31/18,USD,2018,FY,6874400000,-5771400000,310900000,-792100000,33700000,344600000,,,,,,,,,,,,,,,,
ABG,12/31/19,USD,2019,FY,7210300000,-6041400000,325000000,-843900000,36200000,361200000,,,,,,,,,,,,,,,,
ABM,10/31/17,USD,2017,FY,5453600000,-4881200000,83300000,-489100000,70100000,153400000,,,,,,,,,,,,,,,,
ABM,10/31/18,USD,2018,FY,6442200000,-5747400000,165100000,-529700000,112500000,277600000,US,ABM US,58,ABM INDUSTRIES INC,2018,2018-09-10T00:00:00Z,United States of America,, Supply Chain, Commercial services, Commercial & consumer services, Services,Commercial services,Commercial & consumer services,Services,General
